pair_id;participant_id;role;song_rank;artist;track_title;Track URI;Danceability;Energy;Valence;Tempo;Acousticness;Loudness;Instrumentalness;Speechiness;Liveness;Key;Mode;Time Signature
khanh67;khanh67_child;child;song_3;Martin Garrix, Troye Sivan;There for you;spotify:track:6jA8HL9i4QGzsj6fjoxp8Y;611.0;644.0;0.13;105.969;124.0;-7.607;0.0;0.0553;124.0;6.0;0.0;4.0
khanh67;khanh67_parent;parent;song_3;Lệ Quyên;Giấc mơ có thật;spotify:track:3LdMzfxD7H3lOucIEk7nac;643.0;458.0;352.0;126.07;0.51;-7.6;0.0;0.0304;0.0663;9.0;1.0;4.0
khanh69;khanh69_child;child;song_3;The Weeknd;Dancing In The Flames;;552.0;0.73;162.0;116.875;0.0011;-6.203;0.0;0.0381;0.0837;1.0;1.0;4.0
khanh69;khanh69_parent;parent;song_3;Lệ Quyên;Giấc mơ có thật;spotify:track:3LdMzfxD7H3lOucIEk7nac;643.0;458.0;352.0;126.07;0.51;-7.6;0.0;0.0304;0.0663;9.0;1.0;4.0
ktc999;ktc999_child;child;song_3;iLoveMemphis;Hit the Quan - Original Version;;741.0;488.0;625.0;160.018;0.000235;-8.253;0.0;362.0;0.0488;8.0;1.0;4.0
ktc999;ktc999_parent;parent;song_3;Generation X;Untouchables;spotify:track:0CsDroawScjiSQydIfm3KX;641.0;554.0;733.0;133.325;7.32e-05;-10.356;0.0881;0.0287;109.0;7.0;1.0;4.0
lephamily;lephamily_child;child;song_3;Taylor Swift;Chloe or Sam or Sophia or Marcus;spotify:track:1rmEsOezwf2lmIZTMAO5Ag;516.0;451.0;218.0;70.266;0.78;-8.552;0.0;0.0446;105.0;0.0;1.0;4.0
lephamily;lephamily_parent;parent;song_3;Michael Jackson;Heal the World;spotify:track:7woW97CfcWaKtuC6W5BP2K;545.0;485.0;101.0;80.948;537.0;-8.045;1.8e-06;0.0485;104.0;9.0;1.0;4.0
ltc999;ltc999_child;child;song_3;Lana Del Rey, A$AP Rocky;Groupie Love (Feat. A$AP Rocky);spotify:track:03hqMhmCZiNKMSPmVabPLP;359.0;0.6;195.0;175.894;113.0;-7.317;1.32e-06;0.0398;0.0952;9.0;1.0;4.0
ltc999;ltc999_parent;parent;song_3;Generation X;Untouchables;spotify:track:0CsDroawScjiSQydIfm3KX;641.0;554.0;733.0;133.325;7.32e-05;-10.356;0.0881;0.0287;109.0;7.0;1.0;4.0
